,FIPS,STATE,AREA_NAME,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,federal guidelines,foreign travel ban,stay at home rollback,>50 gatherings rollback,>500 gatherings rollback,restaurant dine-in rollback,entertainment/gym rollback
76,13067,GA,cobb county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
77,13089,GA,dekalb county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
78,13095,GA,dougherty county,737505,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
79,13121,GA,fulton county,737508,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
80,13135,GA,gwinnett county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
81,13139,GA,hall county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
82,13215,GA,muscogee county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
83,13245,GA,richmond county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
84,13261,GA,sumter county,737518,737501,737501,737502,737504,737504,737500,737495,737586,NA,NA,737546,737546
85,17000_4,IL,"Illinois Super-county, Cluster 5",737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
86,17000_0,IL,"Illinois Super-county, Cluster 1",737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
87,17000_1,IL,"Illinois Super-county, Cluster 2",737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
88,17031,IL,cook county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
89,17043,IL,dupage county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
90,17089,IL,kane county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
91,17091,IL,kankakee county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
92,17097,IL,lake county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
93,17111,IL,mchenry county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
94,17119,IL,madison county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
95,17163,IL,st. clair county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
96,17197,IL,will county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
97,17201,IL,winnebago county,737505,737502,737502,737501,737502,737502,737500,737495,NA,737588,737588,737553,737553
98,18000_0,IN,"Indiana Super-county, Cluster 1",737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
99,18003,IN,allen county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
100,18000_4,IN,"Indiana Super-county, Cluster 5",737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
101,18000_1,IN,"Indiana Super-county, Cluster 2",737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
102,18057,IN,hamilton county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
103,18063,IN,hendricks county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
104,18067,IN,howard county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
105,18081,IN,johnson county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
106,18089,IN,lake county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
107,18095,IN,madison county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
108,18097,IN,marion county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
109,18141,IN,st. joseph county,737508,737508,737497,737503,737501,737501,737500,737495,737549,737567,737567,NA,NA
110,19000_0,IA,"Iowa Super-county, Cluster 1",740000,737517,737517,737517,737501,737501,737500,737495,NA,NA,NA,737556,737556
111,19000_4,IA,"Iowa Super-county, Cluster 5",740000,737517,737517,737517,737501,737501,737500,737495,NA,NA,NA,737556,737556
112,19013,IA,black hawk county,740000,737517,737517,737517,737501,737501,737500,737495,NA,NA,NA,737556,737556
