FIPS,Admin2,Province_State,Country_Region,21/03/2020 16:47,22/03/2020 18:57,23/03/2020 16:47,24/03/2020 17:10,25/03/2020 17:08,2020-03-26 20:24:50,2020-03-27 21:06:19,2020-03-28 20:48:56
6023.0,Humboldt,California,US,1.0,2.0,2.0,2.0,5.0,10.0,12.0,22
6025.0,Imperial,California,US,4.0,6.0,6.0,6.0,9.0,9.0,17.0,3
6027.0,Inyo,California,US,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0
6029.0,Kern,California,US,4.0,5.0,5.0,12.0,15.0,24.0,33.0,125
6031.0,Kings,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6033.0,Lake,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
6035.0,Lassen,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
6037.0,Los Angeles,California,US,292.0,351.0,409.0,540.0,669.0,812.0,1465.0,0
6039.0,Madera,California,US,3.0,3.0,3.0,6.0,6.0,7.0,10.0,0
6041.0,Marin,California,US,38.0,38.0,38.0,47.0,53.0,60.0,65.0,1
6043.0,Mariposa,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6045.0,Mendocino,California,US,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1
6047.0,Merced,California,US,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6
6049.0,Modoc,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6051.0,Mono,California,US,0.0,1.0,1.0,1.0,2.0,4.0,6.0,0
6053.0,Monterey,California,US,5.0,11.0,11.0,20.0,24.0,24.0,24.0,99
6055.0,Napa,California,US,0.0,0.0,2.0,2.0,2.0,6.0,6.0,0
6057.0,Nevada,California,US,1.0,1.0,1.0,3.0,4.0,7.0,8.0,0
6059.0,Orange,California,US,65.0,78.0,95.0,125.0,152.0,187.0,321.0,0
6061.0,Placer,California,US,9.0,12.0,12.0,20.0,26.0,30.0,30.0,2
6063.0,Plumas,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6065.0,Riverside,California,US,28.0,28.0,43.0,46.0,57.0,105.0,149.0,0
6067.0,Sacramento,California,US,53.0,53.0,53.0,88.0,88.0,113.0,113.0,0
6069.0,San Benito,California,US,5.0,5.0,5.0,6.0,7.0,9.0,13.0,2
6071.0,San Bernardino,California,US,9.0,10.0,17.0,17.0,38.0,54.0,54.0,5
6073.0,San Diego,California,US,127.0,155.0,199.0,226.0,238.0,293.0,341.0,9
6075.0,San Francisco,California,US,76.0,76.0,131.0,152.0,178.0,223.0,279.0,7
6077.0,San Joaquin,California,US,25.0,31.0,41.0,51.0,60.0,71.0,90.0,0
6079.0,San Luis Obispo,California,US,16.0,21.0,27.0,33.0,42.0,46.0,54.0,11
6081.0,San Mateo,California,US,110.0,110.0,117.0,161.0,165.0,195.0,239.0,1
6083.0,Santa Barbara,California,US,9.0,13.0,18.0,18.0,24.0,26.0,32.0,1
6085.0,Santa Clara,California,US,196.0,263.0,302.0,321.0,375.0,459.0,542.0,0
6087.0,Santa Cruz,California,US,15.0,15.0,15.0,22.0,24.0,25.0,32.0,0
6089.0,Shasta,California,US,1.0,1.0,2.0,2.0,3.0,3.0,3.0,1
6091.0,Sierra,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6093.0,Siskiyou,California,US,0.0,2.0,2.0,2.0,3.0,3.0,3.0,0
6095.0,Solano,California,US,13.0,13.0,14.0,21.0,24.0,31.0,34.0,8
6097.0,Sonoma,California,US,9.0,22.0,27.0,29.0,34.0,37.0,44.0,1
6099.0,Stanislaus,California,US,5.0,5.0,8.0,10.0,11.0,12.0,17.0,1
6101.0,Sutter,California,US,0.0,0.0,0.0,0.0,0.0,2.0,2.0,49
6103.0,Tehama,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6105.0,Trinity,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6107.0,Tulare,California,US,11.0,12.0,12.0,16.0,17.0,18.0,20.0,0
6109.0,Tuolumne,California,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
6111.0,Ventura,California,US,19.0,25.0,30.0,35.0,39.0,50.0,61.0,45
6113.0,Yolo,California,US,6.0,6.0,6.0,8.0,10.0,11.0,13.0,1
6115.0,Yuba,California,US,0.0,2.0,3.0,3.0,3.0,3.0,3.0,0
8001.0,Adams,Colorado,US,12.0,14.0,18.0,25.0,27.0,38.0,50.0,76
8003.0,Alamosa,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8005.0,Arapahoe,Colorado,US,29.0,40.0,45.0,58.0,69.0,88.0,119.0,3
8007.0,Archuleta,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8009.0,Baca,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
8011.0,Bent,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8013.0,Boulder,Colorado,US,16.0,30.0,37.0,39.0,49.0,51.0,66.0,0
8014.0,Broomfield,Colorado,US,2.0,1.0,1.0,2.0,5.0,8.0,10.0,4
8015.0,Chaffee,Colorado,US,0.0,2.0,3.0,3.0,3.0,3.0,5.0,0
8017.0,Cheyenne,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8019.0,Clear Creek,Colorado,US,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0
8021.0,Conejos,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8023.0,Costilla,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8025.0,Crowley,Colorado,US,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3
8027.0,Custer,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
8029.0,Delta,Colorado,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,5
8031.0,Denver,Colorado,US,67.0,97.0,125.0,148.0,176.0,214.0,262.0,0
8033.0,Dolores,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8035.0,Douglas,Colorado,US,17.0,27.0,33.0,48.0,53.0,58.0,67.0,0
8037.0,Eagle,Colorado,US,61.0,74.0,80.0,92.0,96.0,120.0,147.0,61
8039.0,Elbert,Colorado,US,0.0,3.0,3.0,3.0,3.0,3.0,3.0,36
8041.0,El Paso,Colorado,US,27.0,37.0,51.0,69.0,106.0,122.0,137.0,2
8043.0,Fremont,Colorado,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
8045.0,Garfield,Colorado,US,4.0,7.0,8.0,8.0,10.0,13.0,16.0,0
8047.0,Gilpin,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26
8049.0,Grand,Colorado,US,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0
8051.0,Gunnison,Colorado,US,13.0,18.0,22.0,28.0,40.0,52.0,57.0,0
8053.0,Hinsdale,Colorado,US,0.0,1.0,1.0,1.0,1.0,1.0,1.0,179
8055.0,Huerfano,Colorado,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6
8057.0,Jackson,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8059.0,Jefferson,Colorado,US,37.0,43.0,51.0,55.0,73.0,93.0,131.0,0
8061.0,Kiowa,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8063.0,Kit Carson,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
8065.0,Lake,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8067.0,La Plata,Colorado,US,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1
8069.0,Larimer,Colorado,US,7.0,19.0,32.0,34.0,43.0,45.0,61.0,0
8071.0,Las Animas,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8073.0,Lincoln,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
8075.0,Logan,Colorado,US,0.0,0.0,2.0,2.0,2.0,2.0,2.0,13
8077.0,Mesa,Colorado,US,1.0,2.0,4.0,5.0,5.0,6.0,6.0,814
8079.0,Mineral,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8081.0,Moffat,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
8083.0,Montezuma,Colorado,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
8085.0,Montrose,Colorado,US,0.0,1.0,1.0,1.0,3.0,4.0,4.0,0
8087.0,Morgan,Colorado,US,2.0,2.0,2.0,3.0,3.0,3.0,3.0,0
8089.0,Otero,Colorado,US,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0
