FIPS,State,Area_Name,Rural-urban_Continuum Code_2013,Urban_Influence_Code_2013,Economic_typology_2015,POP_ESTIMATE_2018,N_POP_CHG_2018,Births_2018,Deaths_2018,NATURAL_INC_2018,INTERNATIONAL_MIG_2018,DOMESTIC_MIG_2018,NET_MIG_2018,RESIDUAL_2018,GQ_ESTIMATES_2018,R_birth_2018,R_death_2018,R_NATURAL_INC_2018,R_INTERNATIONAL_MIG_2018,R_DOMESTIC_MIG_2018,R_NET_MIG_2018,Less than a high school diploma 2014-18,High school diploma only 2014-18,Some college or associate's degree 2014-18,Bachelor's degree or higher 2014-18,Percent of adults with less than a high school diploma 2014-18,Percent of adults with a high school diploma only 2014-18,Percent of adults completing some college or associate's degree 2014-18,Percent of adults with a bachelor's degree or higher 2014-18,POVALL_2018,CI90LBAll_2018,CI90UBALL_2018,PCTPOVALL_2018,CI90LBALLP_2018,CI90UBALLP_2018,POV017_2018,CI90LB017_2018,CI90UB017_2018,PCTPOV017_2018,CI90LB017P_2018,CI90UB017P_2018,POV517_2018,CI90LB517_2018,CI90UB517_2018,PCTPOV517_2018,CI90LB517P_2018,CI90UB517P_2018,MEDHHINC_2018,CI90LBINC_2018,CI90UBINC_2018,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
01039,AL,Covington County,6,6,0,36986,-92,426,537,-111,-2,23,21,-2,575,11.5,14.5,-3.0,-0.1,0.6,0.6,4530,9368,8588,3952,17.1,35.4,32.5,14.9,7239,6065,8413,19.9,16.7,23.1,2341,1847,2835,29.5,23.3,35.7,1745,1362,2128,30.2,23.6,36.8,40203,37062,43344,15617,14902,715,4.6,$40203 ,80.6,18829,1043.79,13.33,1030.46,36.6,18.3
01041,AL,Crenshaw County,8,6,3,13824,-37,141,181,-40,-2,5,3,0,132,10.2,13.1,-2.9,-0.1,0.4,0.2,2091,3753,2326,1505,21.6,38.8,24.0,15.6,2661,2057,3265,19.5,15.1,23.9,957,697,1217,30.8,22.4,39.2,681,475,887,29.3,20.4,38.2,39057,34833,43281,6298,6041,257,4.1,$39057 ,78.3,6735,610.92,2.08,608.84,22.8,11.1
01043,AL,Cullman County,4,3,0,83442,606,977,1039,-62,29,643,672,-4,1049,11.8,12.5,-0.7,0.3,7.7,8.1,10405,20382,18559,7866,18.2,35.6,32.4,13.7,11925,9926,13924,14.5,12.1,16.9,3604,2745,4463,19.7,15.0,24.4,2624,1953,3295,19.8,14.7,24.9,45796,42695,48897,37830,36589,1241,3.3,$45796 ,91.8,37054,755.02,20.18,734.84,109.4,50.4
01045,AL,Dale County,4,5,3,48956,-298,651,552,99,-36,-360,-396,-1,922,13.3,11.2,2.0,-0.7,-7.3,-8.1,4732,10924,12036,5690,14.2,32.7,36.1,17.0,7743,6338,9148,16.2,13.3,19.1,2698,2000,3396,24.4,18.1,30.7,1911,1381,2441,24.4,17.6,31.2,45309,40965,49653,20120,19274,846,4.2,$45309 ,90.8,22677,562.7,1.55,561.15,89.6,40.4
01047,AL,Dallas County,4,5,3,38310,-925,460,533,-73,2,-855,-853,1,852,11.9,13.7,-1.9,0.1,-22.1,-22.0,5135,9368,8076,4021,19.3,35.2,30.4,15.1,11841,9598,14084,31.4,25.5,37.3,4295,3359,5231,48.0,37.6,58.4,3013,2261,3765,45.3,34.0,56.6,34035,31607,36463,14860,13887,973,6.5,$34035 ,68.2,20208,993.8,15.11,978.69,44.8,20.6
01049,AL,DeKalb County,6,6,3,71385,-19,817,807,10,34,-59,-25,-4,782,11.4,11.3,0.1,0.5,-0.8,-0.4,12394,15956,13441,6085,25.9,33.3,28.1,12.7,14975,13282,16668,21.3,18.9,23.7,4990,4274,5706,29.6,25.4,33.8,3773,3275,4271,29.6,25.7,33.5,39491,36085,42897,30129,28979,1150,3.8,$39491 ,79.2,31109,778.69,1.59,777.09,91.5,40
01051,AL,Elmore County,2,2,0,81887,471,896,818,78,21,373,394,-1,5021,11.0,10.0,1.0,0.3,4.6,4.8,7594,18304,16197,13664,13.6,32.8,29.0,24.5,8559,6765,10353,11.2,8.9,13.5,2924,2112,3736,16.3,11.8,20.8,2100,1463,2737,15.8,11.0,20.6,60367,56528,64206,37215,35932,1283,3.4,$60367 ,121.0,32657,657.04,38.56,618.48,128.2,52.8
01053,AL,Escambia County,6,6,0,36748,-251,435,485,-50,3,-204,-201,0,2685,11.8,13.2,-1.4,0.1,-5.5,-5.5,4792,11546,6340,3287,18.5,44.5,24.4,12.7,8022,6521,9523,23.6,19.2,28.0,2648,2061,3235,32.8,25.5,40.1,1867,1402,2332,31.5,23.7,39.3,38418,34921,41915,14352,13696,656,4.6,$38418 ,77.0,16486,953.14,8.06,945.08,40.5,17.4
01055,AL,Etowah County,3,2,0,102501,-436,1175,1473,-298,21,-154,-133,-5,2086,11.4,14.3,-2.9,0.2,-1.5,-1.3,11147,23665,24416,12767,15.5,32.9,33.9,17.7,17509,15140,19878,17.5,15.1,19.9,6191,5179,7203,28.8,24.1,33.5,3930,3063,4797,25.1,19.6,30.6,44903,41940,47866,43096,41328,1768,4.1,$44903 ,90.0,47454,548.63,13.64,534.99,195.2,88.7
01057,AL,Fayette County,6,6,0,16433,-41,167,225,-58,4,16,20,-3,291,10.1,13.7,-3.5,0.2,1.0,1.2,2060,4868,3273,1516,17.6,41.5,27.9,12.9,3801,3185,4417,23.5,19.7,27.3,1279,1062,1496,37.4,31.1,43.7,982,819,1145,39.1,32.6,45.6,39254,35024,43484,6482,6215,267,4.1,$39254 ,78.7,8437,629.36,1.7,627.66,27.5,13.4
