GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Worth County, Iowa";7453;3767;3686;1540;811;729;4382;2236;2146;1531;720;811;225;69;156
"Wright County, Iowa";12690;6379;6311;3040;1543;1497;6766;3500;3266;2884;1336;1548;548;202;346
"Allen County, Kansas";12444;6131;6313;2790;1462;1328;7077;3554;3523;2577;1115;1462;375;111;264
"Anderson County, Kansas";7878;3911;3967;1997;1033;964;4205;2113;2092;1676;765;911;249;91;158
"Atchison County, Kansas";16193;7861;8332;3781;1940;1841;9633;4697;4936;2779;1224;1555;388;127;261
"Barber County, Kansas";4472;2301;2171;1024;543;481;2421;1257;1164;1027;501;526;146;56;90
"Barton County, Kansas";26111;12899;13212;6207;3169;3038;14886;7458;7428;5018;2272;2746;851;304;547
"Bourbon County, Kansas";14653;7242;7411;3764;1938;1826;8000;4021;3979;2889;1283;1606;447;152;295
"Brown County, Kansas";9598;4737;4861;2424;1238;1186;5206;2602;2604;1968;897;1071;274;83;191
"Butler County, Kansas";66765;33594;33171;16996;8665;8331;39640;20397;19243;10129;4532;5597;1406;498;908
"Chase County, Kansas";2629;1338;1291;525;262;263;1443;772;671;661;304;357;99;30;69
"Chautauqua County, Kansas";3309;1703;1606;658;349;309;1766;930;836;885;424;461;125;49;76
"Cherokee County, Kansas";20015;9844;10171;4610;2356;2254;11542;5731;5811;3863;1757;2106;428;152;276
"Cheyenne County, Kansas";2660;1348;1312;567;323;244;1376;711;665;717;314;403;160;55;105
"Clark County, Kansas";2005;995;1010;483;254;229;1082;552;530;440;189;251;91;27;64
"Clay County, Kansas";7997;4001;3996;1883;984;899;4276;2189;2087;1838;828;1010;320;122;198
"Cloud County, Kansas";8729;4330;4399;1952;1001;951;4892;2540;2352;1885;789;1096;339;83;256
