GEO.display-label; Total; Total_Male; Total_Female;Total_age0to17;Male_age0to17;Female_age0to17;Total_age18to64;Male_age18to64;Female_age18to64;Total_age65plus;Male_age65plus;Female_age65plus;Total_age85plusr;Male_age85plusr;Female_age85plusr
"Carroll County, New Hampshire";48779;24201;24578;7659;4022;3637;27508;13559;13949;13612;6620;6992;1529;596;933
"Cheshire County, New Hampshire";76493;37437;39056;13685;6977;6708;47584;23476;24108;15224;6984;8240;1782;621;1161
"Coos County, New Hampshire";31589;16683;14906;5139;2638;2501;18956;10456;8500;7494;3589;3905;992;346;646
"Grafton County, New Hampshire";89786;44377;45409;14522;7471;7051;56698;28191;28507;18566;8715;9851;2393;869;1524
"Hillsborough County, New Hampshire";415247;206632;208615;84629;43338;41291;265270;133920;131350;65348;29374;35974;8478;2898;5580
"Merrimack County, New Hampshire";151132;74440;76692;28949;14628;14321;94617;47454;47163;27566;12358;15208;3719;1218;2501
"Rockingham County, New Hampshire";309176;153319;155857;59995;30841;29154;193643;96988;96655;55538;25490;30048;6336;2226;4110
"Strafford County, New Hampshire";130090;63739;66351;24136;12394;11742;86419;42640;43779;19535;8705;10830;2441;811;1630
"Sullivan County, New Hampshire";43144;21297;21847;8175;4113;4062;25712;12903;12809;9257;4281;4976;1165;379;786
"Atlantic County, New Jersey";265429;128539;136890;56347;28695;27652;161471;78712;82759;47611;21132;26479;5907;2031;3876
"Bergen County, New Jersey";936692;454688;482004;198355;101307;97048;577251;283691;293560;161086;69690;91396;24948;8606;16342
"Burlington County, New Jersey";445384;219438;225946;92652;47203;45449;277331;139526;137805;75401;32709;42692;10193;3576;6617
"Camden County, New Jersey";507078;244608;262470;115090;58747;56343;312580;152245;160335;79408;33616;45792;10958;3538;7420
"Cape May County, New Jersey";92560;45218;47342;16215;8218;7997;51759;25876;25883;24586;11124;13462;2943;1053;1890
"Cumberland County, New Jersey";150972;77018;73954;36107;18258;17849;91812;48696;43116;23053;10064;12989;3021;1092;1929
"Essex County, New Jersey";799767;384964;414803;188977;96381;92596;502258;244227;258031;108532;44356;64176;15721;4924;10797
"Gloucester County, New Jersey";291408;141789;149619;63440;32342;31098;181842;89303;92539;46126;20144;25982;5587;1865;3722
"Hudson County, New Jersey";676061;336666;339395;138221;70375;67846;457920;232929;224991;79920;33362;46558;10392;3428;6964
"Hunterdon County, New Jersey";124714;61767;62947;24097;12321;11776;77512;38728;38784;23105;10718;12387;3021;985;2036
"Mercer County, New Jersey";369811;180955;188856;78695;40301;38394;235116;116792;118324;56000;23862;32138;8195;2665;5530
"Middlesex County, New Jersey";829685;408929;420756;180190;92044;88146;525297;262773;262524;124198;54112;70086;16812;5873;10939
"Monmouth County, New Jersey";621354;302288;319066;131723;67061;64662;380430;187545;192885;109201;47682;61519;15571;5127;10444
"Morris County, New Jersey";494228;242781;251447;104322;53693;50629;305570;151879;153691;84336;37209;47127;12415;4517;7898
"Ocean County, New Jersey";601651;290366;311285;144247;73851;70396;321752;158784;162968;135652;57731;77921;19873;6967;12906
"Passaic County, New Jersey";503310;245542;257768;119860;61093;58767;310237;153133;157104;73213;31316;41897;9778;3221;6557
"Salem County, New Jersey";62607;30717;31890;13379;6855;6524;37591;18660;18931;11637;5202;6435;1706;529;1177
"Somerset County, New Jersey";331164;161879;169285;72515;37204;35311;207031;102465;104566;51618;22210;29408;7891;2482;5409
"Sussex County, New Jersey";140799;69985;70814;27874;14203;13671;88563;44503;44060;24362;11279;13083;2611;877;1734
"Union County, New Jersey";558067;272270;285797;130522;66200;64322;347293;171999;175294;80252;34071;46181;12000;3948;8052
"Warren County, New Jersey";105779;51787;53992;20815;10565;10250;65734;32767;32967;19230;8455;10775;2750;889;1861
"Bernalillo County, New Mexico";678701;332972;345729;147370;75343;72027;420115;208563;211552;111216;49066;62150;13201;4876;8325
"Catron County, New Mexico";3578;1889;1689;437;221;216;1655;843;812;1486;825;661;119;58;61
"Chaves County, New Mexico";64689;32098;32591;17044;8793;8251;37319;18635;18684;10326;4670;5656;1407;527;880
"Cibola County, New Mexico";26746;13666;13080;6309;3174;3135;16131;8548;7583;4306;1944;2362;491;196;295
"Colfax County, New Mexico";12110;6142;5968;2198;1120;1078;6663;3449;3214;3249;1573;1676;368;135;233
"Curry County, New Mexico";49437;25643;23794;12994;6645;6349;30241;16246;13995;6202;2752;3450;810;296;514
"De Baca County, New Mexico";1781;882;899;399;197;202;885;442;443;497;243;254;73;27;46
"Do? Ana County, New Mexico";217522;106762;110760;53231;27057;26174;129953;63718;66235;34338;15987;18351;4032;1684;2348
"Eddy County, New Mexico";57900;29150;28750;15344;7692;7652;34150;17564;16586;8406;3894;4512;1106;406;700
"Grant County, New Mexico";27346;13428;13918;5460;2803;2657;14302;6995;7307;7584;3630;3954;903;364;539
"Guadalupe County, New Mexico";4341;2473;1868;905;489;416;2586;1551;1035;850;433;417;127;59;68
"Harding County, New Mexico";655;335;320;80;38;42;328;177;151;247;120;127;55;34;21
"Hidalgo County, New Mexico";4240;2101;2139;961;477;484;2331;1177;1154;948;447;501;123;45;78
"Lea County, New Mexico";69611;35768;33843;20752;10653;10099;40911;21501;19410;7948;3614;4334;975;361;614
"Lincoln County, New Mexico";19556;9546;10010;3601;1848;1753;10338;5014;5324;5617;2684;2933;519;242;277
"Los Alamos County, New Mexico";19101;9705;9396;4256;2168;2088;11435;5915;5520;3410;1622;1788;453;188;265
"Luna County, New Mexico";23963;12045;11918;6240;3156;3084;12671;6464;6207;5052;2425;2627;592;259;333
"McKinley County, New Mexico";72290;34976;37314;20771;10711;10060;42550;20596;21954;8969;3669;5300;1042;370;672
"Mora County, New Mexico";4506;2304;2202;806;396;410;2404;1231;1173;1296;677;619;154;71;83
"Otero County, New Mexico";66781;34530;32251;15551;7996;7555;39756;21033;18723;11474;5501;5973;1348;525;823
"Quay County, New Mexico";8253;4029;4224;1754;858;896;4398;2168;2230;2101;1003;1098;218;85;133
"Rio Arriba County, New Mexico";39006;19075;19931;9121;4531;4590;22327;11066;11261;7558;3478;4080;830;302;528
"Roosevelt County, New Mexico";18743;9375;9368;4552;2339;2213;11519;5810;5709;2672;1226;1446;321;118;203
"Sandoval County, New Mexico";145179;71144;74035;33748;17301;16447;85675;42085;43590;25756;11758;13998;2419;897;1522
"San Juan County, New Mexico";125043;61898;63145;33054;16748;16306;73304;36743;36561;18685;8407;10278;2245;864;1381
"San Miguel County, New Mexico";27591;13671;13920;5069;2553;2516;16530;8346;8184;5992;2772;3220;564;198;366
"Santa Fe County, New Mexico";150056;72711;77345;26988;13490;13498;86583;42566;44017;36485;16655;19830;3264;1230;2034
"Sierra County, New Mexico";10968;5489;5479;1709;876;833;5253;2588;2665;4006;2025;1981;488;227;261
"Socorro County, New Mexico";16735;8396;8339;3758;1846;1912;9747;5016;4731;3230;1534;1696;340;129;211
"Taos County, New Mexico";32835;16164;16671;5778;2992;2786;18369;9181;9188;8688;3991;4697;870;327;543
"Torrance County, New Mexico";15591;8264;7327;3226;1638;1588;9134;4994;4140;3231;1632;1599;291;129;162
"Union County, New Mexico";4118;2304;1814;776;384;392;2480;1552;928;862;368;494;124;38;86
"Valencia County, New Mexico";76456;38350;38106;17911;9226;8685;45043;22767;22276;13502;6357;7145;1299;559;740
"Albany County, New York";307117;148733;158384;56359;28754;27605;198685;97644;101041;52073;22335;29738;7767;2484;5283
"Allegany County, New York";46430;23569;22861;9390;4906;4484;28225;14432;13793;8815;4231;4584;1056;404;652
"Bronx County, New York";1432132;674900;757232;354692;180414;174278;894065;422417;471648;183375;72069;111306;25827;7711;18116
"Broome County, New York";191659;94240;97419;36990;19106;17884;118127;59194;58933;36542;15940;20602;5908;1981;3927
"Cattaraugus County, New York";76840;38148;38692;16933;8631;8302;45178;22657;22521;14729;6860;7869;1846;644;1202
"Cayuga County, New York";77145;39522;37623;15155;7828;7327;47240;24838;22402;14750;6856;7894;2020;692;1328
"Chautauqua County, New York";127939;63165;64774;25997;13186;12811;76238;38426;37812;25704;11553;14151;3772;1291;2481
"Chemung County, New York";84254;41850;42404;18029;9179;8850;50250;25580;24670;15975;7091;8884;2275;783;1492
"Chenango County, New York";47536;23814;23722;9840;5004;4836;28013;14200;13813;9683;4610;5073;1157;450;707
"Clinton County, New York";80695;41527;39168;14491;7404;7087;52440;27775;24665;13764;6348;7416;1666;618;1048
"Columbia County, New York";59916;30001;29915;10358;5513;4845;35303;17836;17467;14255;6652;7603;1878;732;1146
"Cortland County, New York";47823;23370;24453;9238;4741;4497;30695;15065;15630;7890;3564;4326;1003;339;664
"Delaware County, New York";44527;22496;22031;7352;3733;3619;26273;13476;12797;10902;5287;5615;1332;525;807
"Dutchess County, New York";293718;146277;147441;55149;28291;26858;186936;94837;92099;51633;23149;28484;7147;2554;4593
"Erie County, New York";919719;444942;474777;186092;94697;91395;568575;279526;289049;165052;70719;94333;24150;7885;16265
"Essex County, New York";37300;19255;18045;6062;3157;2905;22495;11928;10567;8743;4170;4573;1104;413;691
"Franklin County, New York";50293;27683;22610;9750;5025;4725;32091;18640;13451;8452;4018;4434;1015;395;620
"Fulton County, New York";53591;26670;26921;10770;5501;5269;32322;16464;15858;10499;4705;5794;1406;435;971
"Genesee County, New York";57511;28611;28900;11699;5915;5784;35062;17868;17194;10750;4828;5922;1532;505;1027
"Greene County, New York";47491;24854;22637;7815;4091;3724;29168;15770;13398;10508;4993;5515;1232;472;760
"Hamilton County, New York";4434;2222;2212;573;287;286;2475;1247;1228;1386;688;698;155;58;97
"Herkimer County, New York";61833;30591;31242;12755;6509;6246;36263;18182;18081;12815;5900;6915;1714;580;1134
"Jefferson County, New York";111755;58764;52991;26798;13692;13106;69681;38155;31526;15276;6917;8359;1940;605;1335
"Kings County, New York";2582830;1223764;1359066;588975;301088;287887;1634609;775942;858667;359246;146734;212512;50414;16753;33661
"Lewis County, New York";26447;13398;13049;6053;3128;2925;15549;7964;7585;4845;2306;2539;617;236;381
"Livingston County, New York";63227;31760;31467;11155;5700;5455;40765;20895;19870;11307;5165;6142;1503;534;969
"Madison County, New York";70795;34933;35862;13463;6876;6587;44377;22022;22355;12955;6035;6920;1559;568;991
"Monroe County, New York";742474;358365;384109;154214;78740;75474;460211;224142;236069;128049;55483;72566;18320;6207;12113
"Montgomery County, New York";49455;24350;25105;11248;5798;5450;29004;14370;14634;9203;4182;5021;1464;496;968
"Nassau County, New York";1358343;661427;696916;291496;149376;142120;825564;407203;418361;241283;104848;136435;38510;13349;25161
"New York County, New York";1628701;771151;857550;233360;117509;115851;1126439;543835;582604;268902;109807;159095;39208;13760;25448
"Niagara County, New York";210433;102493;107940;42064;21341;20723;128260;63404;64856;40109;17748;22361;5596;1867;3729
"Oneida County, New York";229577;114334;115243;48653;24756;23897;137865;70627;67238;43059;18951;24108;6854;2337;4517
"Onondaga County, New York";461809;222674;239135;98024;49897;48127;285150;138469;146681;78635;34308;44327;11631;3935;7696
"Ontario County, New York";109864;53826;56038;22144;11303;10841;65827;32725;33102;21893;9798;12095;2737;899;1838
"Orange County, New York";381951;191531;190420;97160;49929;47231;231250;117966;113284;53541;23636;29905;6652;2277;4375
"Orleans County, New York";40612;20278;20334;7858;4009;3849;25477;12939;12538;7277;3330;3947;860;277;583
"Oswego County, New York";117898;59114;58784;24769;12787;11982;73864;37371;36493;19265;8956;10309;2168;781;1387
"Otsego County, New York";59749;28984;30765;9550;4898;4652;37542;18274;19268;12657;5812;6845;1712;608;1104
"Putnam County, New York";98892;49406;49486;19590;10037;9553;62133;31573;30560;17169;7796;9373;1980;673;1307
"Queens County, New York";2278906;1105389;1173517;458457;234901;223556;1462932;719532;743400;357517;150956;206561;50445;17158;33287
"Rensselaer County, New York";159442;78763;80679;31191;15986;15205;101220;50734;50486;27031;12043;14988;3481;1168;2313
"Richmond County, New York";476179;230765;245414;104038;53302;50736;295088;144230;150858;77053;33233;43820;9719;3221;6498
"Rockland County, New York";325695;159777;165918;91712;46758;44954;182876;91047;91829;51107;21972;29135;7732;2674;5058
"St. Lawrence County, New York";108047;55194;52853;21894;11217;10677;67327;35282;32045;18826;8695;10131;2282;781;1501
"Saratoga County, New York";230163;113980;116183;46168;23571;22597;142267;71474;70793;41728;18935;22793;4941;1749;3192
"Schenectady County, New York";155350;75706;79644;33334;17161;16173;95426;47085;48341;26590;11460;15130;4372;1467;2905
"Schoharie County, New York";31097;15596;15501;5405;2788;2617;18895;9541;9354;6797;3267;3530;744;298;446
"Schuyler County, New York";17912;8930;8982;3438;1770;1668;10652;5335;5317;3822;1825;1997;444;159;285
"Seneca County, New York";34300;18005;16295;6804;3536;3268;20905;11416;9489;6591;3053;3538;820;320;500
"Steuben County, New York";95796;47749;48047;20504;10590;9914;56442;28478;27964;18850;8681;10169;2455;863;1592
"Suffolk County, New York";1481093;729117;751976;313019;159970;153049;918318;459863;458455;249756;109284;140472;34749;12028;22721
"Sullivan County, New York";75498;38865;36633;16001;8202;7799;45259;23796;21463;14238;6867;7371;1399;542;857
"Tioga County, New York";48560;24129;24431;10210;5242;4968;28496;14297;14199;9854;4590;5264;1281;474;807
"Tompkins County, New York";102793;50524;52269;15006;7703;7303;72887;36012;36875;14900;6809;8091;1838;652;1186
"Ulster County, New York";178599;88505;90094;31517;15946;15571;111754;56652;55102;35328;15907;19421;4621;1623;2998
"Warren County, New York";64265;31572;32693;11743;6094;5649;38231;18905;19326;14291;6573;7718;1793;621;1172
"Washington County, New York";61197;31674;29523;11465;5949;5516;37813;20166;17647;11919;5559;6360;1484;538;946
"Wayne County, New York";90064;44703;45361;19198;9710;9488;53864;27022;26842;17002;7971;9031;2022;743;1279
"Westchester County, New York";967612;468720;498892;211912;109354;102558;590692;289400;301292;165008;69966;95042;27639;9332;18307
"Wyoming County, New York";40085;21705;18380;7575;3828;3747;25322;14416;10906;7188;3461;3727;766;279;487
"Yates County, New York";24841;12070;12771;5448;2759;2689;14221;6854;7367;5172;2457;2715;605;219;386
"Alamance County, North Carolina";166436;78937;87499;37015;18977;18038;101294;48149;53145;28127;11811;16316;3680;1231;2449
"Alexander County, North Carolina";37353;19008;18345;7529;3816;3713;22335;11793;10542;7489;3399;4090;735;251;484
"Alleghany County, North Carolina";11161;5528;5633;1944;989;955;6194;3139;3055;3023;1400;1623;351;137;214
"Anson County, North Carolina";24877;12939;11938;4895;2474;2421;15388;8480;6908;4594;1985;2609;512;166;346
"Ashe County, North Carolina";27109;13300;13809;4783;2389;2394;15359;7739;7620;6967;3172;3795;736;235;501
"Avery County, North Carolina";17505;9527;7978;2621;1319;1302;10993;6387;4606;3891;1821;2070;432;156;276
"Beaufort County, North Carolina";47079;22487;24592;9475;4812;4663;26323;12618;13705;11281;5057;6224;1166;376;790
"Bertie County, North Carolina";19026;9599;9427;3350;1764;1586;11297;5981;5316;4379;1854;2525;597;207;390
"Bladen County, North Carolina";33190;15833;17357;6782;3435;3347;19161;9205;9956;7247;3193;4054;740;248;492
"Brunswick County, North Carolina";136744;65301;71443;20873;10698;10175;72801;34089;38712;43070;20514;22556;2918;1119;1799
"Buncombe County, North Carolina";259103;124207;134896;47834;24474;23360;159441;77176;82265;51828;22557;29271;6381;2198;4183
"Burke County, North Carolina";90382;45182;45200;17095;8843;8252;54993;28252;26741;18294;8087;10207;2115;736;1379
"Cabarrus County, North Carolina";211342;102992;108350;54217;27858;26359;129177;63012;66165;27948;12122;15826;2982;1003;1979
"Caldwell County, North Carolina";82029;40637;41392;16490;8471;8019;49237;24828;24409;16302;7338;8964;1510;509;1001
"Camden County, North Carolina";10710;5336;5374;2445;1227;1218;6515;3288;3227;1750;821;929;185;72;113
"Carteret County, North Carolina";69524;34054;35470;12208;6403;5805;39953;19585;20368;17363;8066;9297;1796;698;1098
"Caswell County, North Carolina";22698;11525;11173;4272;2172;2100;13545;7192;6353;4881;2161;2720;508;168;340
"Catawba County, North Carolina";158652;77479;81173;35043;17752;17291;95272;47211;48061;28337;12516;15821;2964;971;1993
"Chatham County, North Carolina";73139;34953;38186;14764;7305;7459;40518;19761;20757;17857;7887;9970;2201;867;1334
"Cherokee County, North Carolina";28383;13832;14551;4769;2466;2303;15217;7427;7790;8397;3939;4458;786;304;482
"Chowan County, North Carolina";14029;6677;7352;2830;1430;1400;7743;3761;3982;3456;1486;1970;425;138;287
"Clay County, North Carolina";11139;5435;5704;1924;1014;910;5751;2827;2924;3464;1594;1870;315;110;205
"Cleveland County, North Carolina";97645;46924;50721;21496;10903;10593;57965;28114;29851;18184;7907;10277;1732;612;1120
"Columbus County, North Carolina";55655;27545;28110;11645;5839;5806;32819;16890;15929;11191;4816;6375;1141;357;784
"Craven County, North Carolina";102912;52028;50884;22231;11139;11092;61081;32133;28948;19600;8756;10844;2326;828;1498
"Cumberland County, North Carolina";332330;164493;167837;82119;41597;40522;210594;106225;104369;39617;16671;22946;4201;1373;2828
"Currituck County, North Carolina";27072;13404;13668;6058;3038;3020;16616;8281;8335;4398;2085;2313;361;134;227
"Dare County, North Carolina";36501;17998;18503;6899;3522;3377;21783;10786;10997;7819;3690;4129;681;267;414
"Davidson County, North Carolina";166614;81509;85105;36559;18786;17773;99678;49151;50527;30377;13572;16805;3199;1118;2081
"Davie County, North Carolina";42733;20849;21884;8979;4608;4371;24710;12162;12548;9044;4079;4965;1188;420;768
"Duplin County, North Carolina";58856;28664;30192;13962;7181;6781;33888;16612;17276;11006;4871;6135;1385;466;919
"Durham County, North Carolina";316739;151221;165518;65824;33423;32401;209445;100428;109017;41470;17370;24100;4883;1566;3317
"Edgecombe County, North Carolina";52005;24036;27969;11711;5949;5762;30041;13853;16188;10253;4234;6019;1203;368;835
"Forsyth County, North Carolina";379099;179783;199316;86957;44344;42613;231525;109702;121823;60617;25737;34880;7544;2490;5054
"Franklin County, North Carolina";67560;33391;34169;14796;7512;7284;41412;20849;20563;11352;5030;6322;1166;380;786
"Gaston County, North Carolina";222846;107389;115457;50208;25556;24652;136851;66586;70265;35787;15247;20540;3914;1233;2681
"Gates County, North Carolina";11573;5731;5842;2347;1230;1117;6886;3431;3455;2340;1070;1270;276;98;178
"Graham County, North Carolina";8484;4239;4245;1694;895;799;4771;2407;2364;2019;937;1082;246;90;156
"Granville County, North Carolina";60115;30635;29480;12272;6336;5936;37550;19683;17867;10293;4616;5677;1092;344;748
"Greene County, North Carolina";21012;11481;9531;4209;2173;2036;13322;7783;5539;3481;1525;1956;395;109;286
"Guilford County, North Carolina";533670;252687;280983;118897;60376;58521;333824;157847;175977;80949;34464;46485;9888;3347;6541
"Halifax County, North Carolina";50574;24282;26292;10830;5496;5334;29265;14358;14907;10479;4428;6051;1235;380;855
"Harnett County, North Carolina";134214;66478;67736;34902;17870;17032;82589;41391;41198;16723;7217;9506;1529;490;1039
"Haywood County, North Carolina";61971;29956;32015;11308;5913;5395;35415;17229;18186;15248;6814;8434;1716;590;1126
"Henderson County, North Carolina";116748;56031;60717;22070;11240;10830;64604;31408;33196;30074;13383;16691;3688;1442;2246
"Hertford County, North Carolina";23659;11623;12036;4467;2260;2207;14513;7424;7089;4679;1939;2740;583;174;409
"Hoke County, North Carolina";54764;27067;27697;14936;7678;7258;34320;16936;17384;5508;2453;3055;445;148;297
"Hyde County, North Carolina";5230;2862;2368;878;441;437;3271;1925;1346;1081;496;585;112;32;80
"Iredell County, North Carolina";178435;87826;90609;41060;20974;20086;109072;54187;54885;28303;12665;15638;2627;875;1752
"Jackson County, North Carolina";43327;21253;22074;7195;3683;3512;27605;13650;13955;8527;3920;4607;800;295;505
"Johnston County, North Carolina";202675;99289;103386;51654;26412;25242;124032;61109;62923;26989;11768;15221;2302;734;1568
"Jones County, North Carolina";9637;4721;4916;1785;931;854;5674;2822;2852;2178;968;1210;249;77;172
"Lee County, North Carolina";61452;30064;31388;14733;7575;7158;36601;18084;18517;10118;4405;5713;1296;435;861
"Lenoir County, North Carolina";55976;26660;29316;12606;6469;6137;32282;15516;16766;11088;4675;6413;1292;447;845
"Lincoln County, North Carolina";83770;41594;42176;17649;9100;8549;51319;25735;25584;14802;6759;8043;1305;440;865
"McDowell County, North Carolina";45507;22711;22796;9164;4843;4321;27026;13677;13349;9317;4191;5126;1020;323;697
"Macon County, North Carolina";35285;17116;18169;6590;3388;3202;18639;9201;9438;10056;4527;5529;1092;415;677
"Madison County, North Carolina";21763;10726;11037;3893;2025;1868;13010;6490;6520;4860;2211;2649;539;173;366
"Martin County, North Carolina";22671;10657;12014;4587;2280;2307;12838;6119;6719;5246;2258;2988;546;183;363
"Mecklenburg County, North Carolina";1093901;526014;567887;257713;130504;127209;713639;344192;369447;122549;51318;71231;14134;4613;9521
"Mitchell County, North Carolina";15000;7393;7607;2740;1402;1338;8519;4267;4252;3741;1724;2017;407;115;292
"Montgomery County, North Carolina";27271;13316;13955;6007;3008;2999;15667;7736;7931;5597;2572;3025;594;194;400
"Moore County, North Carolina";98682;47539;51143;21026;10678;10348;54028;26335;27693;23628;10526;13102;3413;1321;2092
"Nash County, North Carolina";94016;45066;48950;20572;10456;10116;56018;27150;28868;17426;7460;9966;1831;573;1258
"New Hanover County, North Carolina";232274;110744;121530;42800;21895;20905;148263;70918;77345;41211;17931;23280;4659;1601;3058
"Northampton County, North Carolina";19676;9597;10079;3418;1795;1623;11168;5620;5548;5090;2182;2908;660;196;464
"Onslow County, North Carolina";197683;109144;88539;48417;24622;23795;131000;76374;54626;18266;8148;10118;1900;712;1188
"Orange County, North Carolina";146027;69739;76288;28705;14820;13885;96883;45858;51025;20439;9061;11378;2039;698;1341
"Pamlico County, North Carolina";12670;6412;6258;1879;955;924;7012;3682;3330;3779;1775;2004;416;172;244
"Pasquotank County, North Carolina";39639;19393;20246;8822;4535;4287;24127;11978;12149;6690;2880;3810;781;280;501
"Pender County, North Carolina";62162;31012;31150;13781;7054;6727;37191;18783;18408;11190;5175;6015;1034;378;656
"Perquimans County, North Carolina";13422;6452;6970;2462;1227;1235;7357;3589;3768;3603;1636;1967;368;146;222
"Person County, North Carolina";39507;19115;20392;8260;4225;4035;23522;11538;11984;7725;3352;4373;825;251;574
"Pitt County, North Carolina";179914;84481;95433;38347;19693;18654;117778;54600;63178;23789;10188;13601;2636;757;1879
"Polk County, North Carolina";20611;9889;10722;3307;1689;1618;10896;5343;5553;6408;2857;3551;934;335;599
"Randolph County, North Carolina";143351;70703;72648;32263;16536;15727;85648;42785;42863;25440;11382;14058;2668;911;1757
"Richmond County, North Carolina";44887;21990;22897;10265;5301;4964;26566;13201;13365;8056;3488;4568;813;284;529
"Robeson County, North Carolina";131831;63581;68250;32729;16613;16116;79037;38247;40790;20065;8721;11344;1931;612;1319
"Rockingham County, North Carolina";90690;43698;46992;18387;9344;9043;53751;26225;27526;18552;8129;10423;2109;686;1423
"Rowan County, North Carolina";141262;69730;71532;31407;16205;15202;85025;42494;42531;24830;11031;13799;2876;954;1922
"Rutherford County, North Carolina";66826;32232;34594;13786;7007;6779;38619;18843;19776;14421;6382;8039;1552;490;1062
"Sampson County, North Carolina";63626;31415;32211;15461;7979;7482;36829;18587;18242;11336;4849;6487;1310;428;882
"Scotland County, North Carolina";34810;17282;17528;7884;4092;3792;20557;10494;10063;6369;2696;3673;738;219;519
"Stanly County, North Carolina";62075;30979;31096;13388;6845;6543;36954;18892;18062;11733;5242;6491;1238;392;846
"Stokes County, North Carolina";45467;22364;23103;8522;4428;4094;27277;13580;13697;9668;4356;5312;1090;378;712
"Surry County, North Carolina";71948;35001;36947;15195;7712;7483;42009;20838;21171;14744;6451;8293;1778;585;1193
"Swain County, North Carolina";14245;6864;7381;3148;1616;1532;8368;4040;4328;2729;1208;1521;285;107;178
"Transylvania County, North Carolina";34215;16539;17676;5342;2736;2606;18428;9024;9404;10445;4779;5666;1331;521;810
"Tyrrell County, North Carolina";4131;2291;1840;770;394;376;2562;1541;1021;799;356;443;105;32;73
"Union County, North Carolina";235908;115992;119916;63295;32207;31088;142685;70560;72125;29928;13225;16703;2696;857;1839
"Vance County, North Carolina";44582;20839;23743;10521;5327;5194;25817;12067;13750;8244;3445;4799;950;247;703
"Wake County, North Carolina";1092305;531546;560759;261531;132845;128686;703888;343830;360058;126886;54871;72015;13586;4610;8976
"Warren County, North Carolina";19807;9775;10032;3647;1802;1845;11128;5735;5393;5032;2238;2794;633;208;425
"Washington County, North Carolina";11859;5630;6229;2377;1200;1177;6593;3155;3438;2889;1275;1614;352;106;246
"Watauga County, North Carolina";55945;27936;28009;7177;3682;3495;39915;20118;19797;8853;4136;4717;898;312;586
"Wayne County, North Carolina";123248;59930;63318;29181;14817;14364;73801;36500;37301;20266;8613;11653;2211;728;1483
"Wilkes County, North Carolina";68557;33729;34828;14043;7129;6914;39737;20015;19722;14777;6585;8192;1661;579;1082
"Wilson County, North Carolina";81455;38539;42916;18681;9541;9140;47893;22710;25183;14881;6288;8593;1713;530;1183
"Yadkin County, North Carolina";37543;18479;19064;7792;4029;3763;22185;11106;11079;7566;3344;4222;881;297;584
"Yancey County, North Carolina";17903;8800;9103;3269;1743;1526;10027;4969;5058;4607;2088;2519;481;172;309
"Adams County, North Dakota";2294;1135;1159;437;224;213;1218;611;607;639;300;339;123;41;82
"Barnes County, North Dakota";10542;5315;5227;2110;1088;1022;6031;3138;2893;2401;1089;1312;409;131;278
"Benson County, North Dakota";6962;3555;3407;2462;1271;1191;3532;1796;1736;968;488;480;99;53;46
"Billings County, North Dakota";919;501;418;187;93;94;526;291;235;206;117;89;33;17;16
"Bottineau County, North Dakota";6411;3313;3098;1341;681;660;3541;1900;1641;1529;732;797;209;88;121
"Bowman County, North Dakota";3076;1548;1528;755;389;366;1662;847;815;659;312;347;117;43;74
"Burke County, North Dakota";2100;1095;1005;526;268;258;1138;619;519;436;208;228;58;17;41
"Burleigh County, North Dakota";95273;47746;47527;22130;11306;10824;57828;29677;28151;15315;6763;8552;2454;830;1624
"Cass County, North Dakota";181516;91810;89706;40855;20847;20008;118867;61192;57675;21794;9771;12023;3352;1110;2242
"Cavalier County, North Dakota";3829;1958;1871;859;447;412;1938;1029;909;1032;482;550;180;66;114
"Dickey County, North Dakota";4903;2435;2468;1206;621;585;2695;1366;1329;1002;448;554;188;61;127
"Divide County, North Dakota";2283;1194;1089;511;278;233;1195;626;569;577;290;287;106;33;73
"Dunn County, North Dakota";4332;2306;2026;1032;523;509;2610;1438;1172;690;345;345;87;35;52
"Eddy County, North Dakota";2313;1148;1165;545;289;256;1236;629;607;532;230;302;104;25;79
"Emmons County, North Dakota";3295;1672;1623;652;330;322;1724;903;821;919;439;480;168;69;99
"Foster County, North Dakota";3216;1594;1622;680;315;365;1812;955;857;724;324;400;154;54;100
"Golden Valley County, North Dakota";1769;880;889;394;201;193;943;491;452;432;188;244;86;28;58
"Grand Forks County, North Dakota";70770;36545;34225;14927;7615;7312;46866;24888;21978;8977;4042;4935;1295;417;878
"Grant County, North Dakota";2374;1185;1189;488;227;261;1176;605;571;710;353;357;107;49;58
"Griggs County, North Dakota";2232;1149;1083;454;234;220;1104;578;526;674;337;337;118;33;85
"Hettinger County, North Dakota";2514;1218;1296;610;297;313;1340;645;695;564;276;288;103;44;59
"Kidder County, North Dakota";2450;1268;1182;516;265;251;1334;705;629;600;298;302;83;28;55
"LaMoure County, North Dakota";4062;2096;1966;871;478;393;2093;1085;1008;1098;533;565;222;87;135
"Logan County, North Dakota";1903;983;920;438;235;203;971;518;453;494;230;264;87;35;52
"McHenry County, North Dakota";5816;3012;2804;1392;734;658;3237;1712;1525;1187;566;621;183;59;124
"McIntosh County, North Dakota";2585;1261;1324;483;252;231;1309;676;633;793;333;460;195;55;140
"McKenzie County, North Dakota";13632;7277;6355;4292;2244;2048;8092;4423;3669;1248;610;638;156;59;97
"McLean County, North Dakota";9541;4867;4674;2070;1037;1033;5223;2703;2520;2248;1127;1121;259;96;163
