FIPS,State,Area_Name,Share_age0to17,Share_age18to64,Share_age65plus,Fatality_ratio_age0to17,Fatality_ratio_age18to64,Fatality_ratio_age65plus,fatality_rate
46063,SD,Harding County,0.2321857485988791,0.5900720576461169,0.177742193755004,0.0,0.005666026871401152,0.04593577981651376,0.011508090411119859
46065,SD,Hughes County,0.2408498583569405,0.5859490084985836,0.1732011331444759,0.0,0.005666026871401152,0.04593577981651376,0.011276131943519166
46067,SD,Hutchinson County,0.25474254742547425,0.5153116531165312,0.2299457994579946,0.0,0.005666026871401152,0.04593577981651376,0.013482509287339083
46069,SD,Hyde County,0.20670826833073322,0.5405616224648986,0.25273010920436817,0.0,0.005666026871401152,0.04593577981651376,0.014672191327949655
46071,SD,Jackson County,0.33413970365890533,0.5322044148775326,0.13365588146356214,0.0,0.005666026871401152,0.04593577981651376,0.00915507165786668
46073,SD,Jerauld County,0.23494860499265785,0.49583945178658834,0.2692119432207538,0.0,0.005666026871401152,0.04593577981651376,0.015175900205487978
46075,SD,Jones County,0.22198275862068967,0.5452586206896551,0.23275862068965517,0.0,0.005666026871401152,0.04593577981651376,0.013781398747086159
46077,SD,Kingsbury County,0.22911160805041675,0.5393372636714779,0.2315511282781053,0.0,0.005666026871401152,0.04593577981651376,0.013692381073558942
46079,SD,Lake County,0.20119476143065024,0.5789231829669909,0.21988205560235888,0.0,0.005666026871401152,0.04593577981651376,0.01338064800292045
46081,SD,Lawrence County,0.1787032360825143,0.6030845732489025,0.2182121906685832,0.0,0.005666026871401152,0.04593577981651376,0.013440840541586934
46083,SD,Lincoln County,0.279983675412791,0.5913241620895472,0.12869216249766186,0.0,0.005666026871401152,0.04593577981651376,0.00926203343271175
46085,SD,Lyman County,0.29390211986390996,0.5477623658728081,0.15833551426328185,0.0,0.005666026871401152,0.04593577981651376,0.01037690160451019
46087,SD,McCook County,0.2753335737468446,0.5347998557518933,0.18986657050126218,0.0,0.005666026871401152,0.04593577981651376,0.011751859330574254
46089,SD,McPherson County,0.24594931449937682,0.47320315745741587,0.28084752804320734,0.0,0.005666026871401152,0.04593577981651376,0.015582132015990536
46091,SD,Marshall County,0.232981220657277,0.564945226917058,0.2020735524256651,0.0,0.005666026871401152,0.04593577981651376,0.012483401047547974
46093,SD,Meade County,0.228422987205768,0.6190358379868524,0.15254117480737966,0.0,0.005666026871401152,0.04593577981651376,0.010514571511297964
46095,SD,Mellette County,0.3070519098922625,0.5381978452497551,0.15475024485798236,0.0,0.005666026871401152,0.04593577981651376,0.01015801662766318
46097,SD,Miner County,0.236782647989155,0.5535472209670131,0.2096701310438319,0.0,0.005666026871401152,0.04593577981651376,0.012767774402317576
46099,SD,Minnehaha County,0.25431365229473857,0.6148821004168481,0.13080424728841328,0.0,0.005666026871401152,0.04593577981651376,0.009492533606210812
46101,SD,Moody County,0.26052591579267365,0.5519075847393221,0.18756649946800424,0.0,0.005666026871401152,0.04593577981651376,0.011743136626179596
46102,SD,Oglala Lakota County,0.37207352016213574,0.5548955203019079,0.0730309595359564,0.0,0.005666026871401152,0.04593577981651376,0.006498787005883153
46103,SD,Pennington County,0.22915268193575528,0.5910640925811562,0.17978322548308853,0.0,0.005666026871401152,0.04593577981651376,0.01160746769177897
46105,SD,Perkins County,0.20704996577686516,0.5414099931553731,0.2515400410677618,0.0,0.005666026871401152,0.04593577981651376,0.014622331511188993
46107,SD,Potter County,0.21703670140462167,0.4938830992297236,0.2890801993656547,0.0,0.005666026871401152,0.04593577981651376,0.016077479298941114
46109,SD,Roberts County,0.2861108452187231,0.5192878338278932,0.19460132095338376,0.0,0.005666026871401152,0.04593577981651376,0.011881462251777901
46111,SD,Sanborn County,0.2527789213668176,0.5508439687114038,0.1963771099217785,0.0,0.005666026871401152,0.04593577981651376,0.012141832411038207
46115,SD,Spink County,0.22986913010007698,0.5625866050808314,0.2075442648190916,0.0,0.005666026871401152,0.04593577981651376,0.012721338472788354
46117,SD,Stanley County,0.24189278623428193,0.5539377895433488,0.2041694242223693,0.0,0.005666026871401152,0.04593577981651376,0.012517308116980319
