FIPS,Combined_Key,02/03/20,02/04/20,02/05/20,02/06/20,02/07/20,02/08/20,02/09/20,02/10/20,02/11/20,02/12/20,02/13/20,02/14/20,02/15/20,02/16/20,02/17/20,02/18/20,02/19/20,02/20/20,02/21/20,02/22/20,02/23/20,02/24/20,02/25/20,02/26/20,02/27/20,02/28/20,02/29/20,03/01/20,03/02/20,03/03/20,03/04/20,03/05/20,03/06/20,03/07/20,03/08/20,03/09/20,03/10/20,03/11/20,03/12/20,03/13/20,03/14/20,03/15/20,03/16/20,03/17/20,03/18/20,03/19/20,03/20/20,03/21/20,03/22/20,03/23/20,03/24/20,03/25/20,03/26/20,03/27/20,03/28/20,03/29/20,03/30/20,03/31/20,04/01/20,04/02/20,04/03/20,04/04/20,04/05/20,04/06/20,04/07/20
13000,GA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.506824757673655,2.3608054732587433,2.265410487853308,2.265410487853308,2.0989981119927608,2.0989981119927608,2.0989981119927608,2.0989981119927608,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865,1.8617138236670865
15000,HI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16000,ID,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17000,IL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.871235896438715,2.7560759527565954,2.4039932642034283,2.4039932642034283,2.4039932642034283,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152,2.125716383480152
18000,IN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.4482294026336153,2.3879958524510827,2.3879958524510827,2.3879958524510827,2.3879958524510827,2.20998446561024,2.20998446561024,2.1223210207864485,2.1223210207864485,2.1223210207864485,2.1223210207864485,2.1223210207864485,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032,1.8162922634544032
19000,IA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20000,KS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.175390746161426,2.0904737950106282,2.0904737950106282,2.0904737950106282,2.0904737950106282,2.0904737950106282,2.0904737950106282,1.9367721868804448,1.9367721868804448,1.9367721868804448,1.9367721868804448,1.9367721868804448,1.9367721868804448,1.6190670590522591,1.6190670590522591,1.6190670590522591,1.6190670590522591,1.6190670590522591,1.6190670590522591,1.6190670590522591,1.6190670590522591,1.6190670590522591
21000,KY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22000,LA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.73658356861346,2.62643749991671,2.2882890951447616,2.2882890951447616,2.2882890951447616,2.2882890951447616,2.2882890951447616,2.2882890951447616,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994,2.030403938872994
23000,ME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
