"AREA", "YEAR", "MONTH","LABORFORCE","EMP","UNEMP","UNEMPRATE"                                                                                                                                                                        
"Albany-Rensselaer-Schenectady Counties","2012","05",323100,299200,23900,7.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","06",326900,301700,25300,7.7                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","07",324500,299000,25500,7.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","08",323200,299100,24200,7.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","09",322300,299500,22800,7.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","10",325400,303100,22300,6.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","11",324100,303100,20900,6.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2012","12",320900,298800,22100,6.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","00",318100,295100,23000,7.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","01",317600,292200,25400,8                                                                                                                                                            
"Albany-Rensselaer-Schenectady Counties","2011","02",318000,293400,24500,7.7                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","03",317500,294400,23100,7.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","04",317800,296100,21700,6.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","05",317500,295700,21800,6.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","06",319600,296200,23400,7.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","07",319200,295600,23500,7.4                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","08",319200,296300,22900,7.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","09",317000,294200,22900,7.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","10",318700,296500,22100,6.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","11",318600,296600,22100,6.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2011","12",316800,294000,22800,7.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","00",325100,301300,23800,7.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","01",323900,297800,26100,8.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","02",324900,299200,25600,7.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","03",324800,300300,24400,7.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","04",328200,305300,23000,7                                                                                                                                                            
"Albany-Rensselaer-Schenectady Counties","2010","05",327200,304400,22700,6.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","06",330300,306400,23900,7.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","07",329500,304700,24800,7.5                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","08",328500,304500,23900,7.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","09",323600,300600,23000,7.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","10",321500,298900,22600,7                                                                                                                                                            
"Albany-Rensselaer-Schenectady Counties","2010","11",321100,297800,23300,7.3                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2010","12",318100,295400,22800,7.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2009","00",319600,297100,22600,7.1                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2009","01",319800,297900,21900,6.8                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2009","02",320900,297900,23000,7.2                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2009","03",319800,297300,22500,7                                                                                                                                                            
"Albany-Rensselaer-Schenectady Counties","2009","04",322100,300500,21600,6.7                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2009","05",321200,299200,22000,6.9                                                                                                                                                          
"Albany-Rensselaer-Schenectady Counties","2009","06",326400,302900,23400,7.2                                                                                                                                                          
