FIPS,Admin2,Province_State,Country_Region,21/03/2020 16:47,22/03/2020 18:57,23/03/2020 16:47,24/03/2020 17:10,2020-03-25 17:08:40,2020-03-26 20:24:50,2020-03-27 21:06:19,2020-03-28 20:48:56,2020-03-29 18:33:54
2180.0,Nome,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2185.0,North Slope,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2188.0,Northwest Arctic,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195.0,Petersburg,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198.0,Prince of Wales-Hyder,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2220.0,Sitka,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2230.0,Skagway,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2240.0,Southeast Fairbanks,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2261.0,Valdez-Cordova,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2275.0,Wrangell,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2282.0,Yakutat,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2290.0,Yukon-Koyukuk,Alaska,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4001.0,Apache,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4003.0,Cochise,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4005.0,Coconino,Arizona,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
4007.0,Gila,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4009.0,Graham,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4011.0,Greenlee,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4012.0,La Paz,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4013.0,Maricopa,Arizona,US,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0
4015.0,Mohave,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4017.0,Navajo,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4019.0,Pima,Arizona,US,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0
4021.0,Pinal,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4023.0,Santa Cruz,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4025.0,Yavapai,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4027.0,Yuma,Arizona,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5001.0,Arkansas,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5003.0,Ashley,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5005.0,Baxter,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5007.0,Benton,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5009.0,Boone,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5011.0,Bradley,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5013.0,Calhoun,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5015.0,Carroll,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5017.0,Chicot,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5019.0,Clark,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5021.0,Clay,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5023.0,Cleburne,Arkansas,US,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
5025.0,Cleveland,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5027.0,Columbia,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5029.0,Conway,Arkansas,US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
